dataset,model,finetune,best_region,best_region_acc,worst_region,worst_region_acc,region_bias_gap
dollarstreet,clip,no,eu,0.0175,af,0.0118,0.0057
dollarstreet,clip,yes,eu,0.7784,af,0.6777,0.1007
dollarstreet,convnext,no,am,0.0234,af,0.0106,0.0127
dollarstreet,convnext,yes,eu,0.8061,af,0.7214,0.0848
dollarstreet,deit,no,as,0.0208,am,0.0152,0.0057
dollarstreet,deit,yes,eu,0.7857,af,0.6966,0.0891
dollarstreet,dino,no,af,0.0153,eu,0.0044,0.0110
dollarstreet,dino,yes,eu,0.7668,af,0.6895,0.0773
dollarstreet,mae,no,am,0.0292,eu,0.0219,0.0073
dollarstreet,mae,yes,eu,0.6910,af,0.6222,0.0688
dollarstreet,maxvit,no,eu,0.0452,as,0.0198,0.0254
dollarstreet,maxvit,yes,eu,0.7726,af,0.6623,0.1103
dollarstreet,resnet,no,eu,0.0262,am,0.0199,0.0064
dollarstreet,resnet,yes,eu,0.6356,af,0.5136,0.1220
dollarstreet,siglip,no,as,0.0182,eu,0.0131,0.0051
dollarstreet,siglip,yes,eu,0.7945,af,0.7202,0.0743
dollarstreet,swin,no,af,0.0224,as,0.0162,0.0063
dollarstreet,swin,yes,eu,0.7915,af,0.7190,0.0725
geode,clip,no,EastAsia,0.0498,WestAsia,0.0333,0.0165
geode,clip,yes,WestAsia,0.9683,SouthEastAsia,0.9377,0.0306
geode,convnext,no,Americas,0.0287,EastAsia,0.0180,0.0107
geode,convnext,yes,WestAsia,0.9788,SouthEastAsia,0.9559,0.0229
geode,deit,no,SouthEastAsia,0.0193,Americas,0.0154,0.0039
geode,deit,yes,WestAsia,0.9720,SouthEastAsia,0.9520,0.0200
geode,dino,no,SouthEastAsia,0.0262,WestAsia,0.0153,0.0108
geode,dino,yes,WestAsia,0.9714,SouthEastAsia,0.9477,0.0238
geode,mae,no,SouthEastAsia,0.0437,Africa,0.0257,0.0180
geode,mae,yes,WestAsia,0.9392,SouthEastAsia,0.9205,0.0187
geode,maxvit,no,WestAsia,0.0312,EastAsia,0.0193,0.0119
geode,maxvit,yes,WestAsia,0.9662,SouthEastAsia,0.9470,0.0192
geode,resnet,no,Americas,0.0351,Africa,0.0213,0.0138
geode,resnet,yes,Europe,0.9238,SouthEastAsia,0.8972,0.0266
geode,siglip,no,WestAsia,0.0312,Europe,0.0199,0.0113
geode,siglip,yes,WestAsia,0.9730,SouthEastAsia,0.9452,0.0278
geode,swin,no,Europe,0.0238,Africa,0.0171,0.0067
geode,swin,yes,WestAsia,0.9741,SouthEastAsia,0.9531,0.0210
