dataset,model,finetune,loss,object_acc,best_region,worst_region,best_region_acc,worst_region_acc,region_bias_gap
dollarstreet,clip,yes,1.5627,0.7305,eu,af,0.7784,0.6777,0.1007
dollarstreet,convnext,yes,1.4279,0.7667,eu,af,0.8061,0.7214,0.0848
dollarstreet,deit,yes,1.5178,0.7512,eu,af,0.7857,0.6966,0.0891
dollarstreet,dino,yes,1.5633,0.7340,eu,af,0.7668,0.6895,0.0773
dollarstreet,mae,yes,1.7323,0.6674,eu,af,0.6910,0.6222,0.0688
dollarstreet,maxvit,yes,1.5243,0.7286,eu,af,0.7726,0.6623,0.1103
dollarstreet,resnet,yes,2.0059,0.5887,eu,af,0.6356,0.5136,0.1220
dollarstreet,siglip,yes,1.4584,0.7621,eu,af,0.7945,0.7202,0.0743
dollarstreet,swin,yes,1.4694,0.7609,eu,af,0.7915,0.7190,0.0725
geode,clip,yes,0.8170,0.9538,WestAsia,SouthEastAsia,0.9683,0.9377,0.0306
geode,convnext,yes,0.7821,0.9661,WestAsia,SouthEastAsia,0.9788,0.9559,0.0229
geode,deit,yes,0.7943,0.9628,WestAsia,SouthEastAsia,0.9720,0.9520,0.0200
geode,dino,yes,0.7951,0.9595,WestAsia,SouthEastAsia,0.9714,0.9477,0.0238
geode,mae,yes,0.8839,0.9286,WestAsia,SouthEastAsia,0.9392,0.9205,0.0187
geode,maxvit,yes,0.8160,0.9565,WestAsia,SouthEastAsia,0.9662,0.9470,0.0192
geode,resnet,yes,0.9538,0.9086,Europe,SouthEastAsia,0.9238,0.8972,0.0266
geode,siglip,yes,0.7972,0.9591,WestAsia,SouthEastAsia,0.9730,0.9452,0.0278
geode,swin,yes,0.7906,0.9625,WestAsia,SouthEastAsia,0.9741,0.9531,0.0210
