dataset,model,finetune,loss,object_acc,best_region,worst_region,best_region_acc,worst_region_acc,region_bias_gap
dollarstreet,clip,no,4.4294,0.0146,eu,af,0.0175,0.0118,0.0057
dollarstreet,convnext,no,4.2868,0.0160,am,af,0.0234,0.0106,0.0127
dollarstreet,deit,no,4.4183,0.0190,as,am,0.0208,0.0152,0.0057
dollarstreet,dino,no,4.6843,0.0107,af,eu,0.0153,0.0044,0.0110
dollarstreet,mae,no,4.1876,0.0260,am,eu,0.0292,0.0219,0.0073
dollarstreet,maxvit,no,4.1550,0.0288,eu,as,0.0452,0.0198,0.0254
dollarstreet,resnet,no,4.1654,0.0225,eu,am,0.0262,0.0199,0.0064
dollarstreet,siglip,no,4.2136,0.0165,as,eu,0.0182,0.0131,0.0051
dollarstreet,swin,no,4.2285,0.0186,af,as,0.0224,0.0162,0.0063
geode,clip,no,3.8468,0.0451,EastAsia,WestAsia,0.0498,0.0333,0.0165
geode,convnext,no,3.8047,0.0239,Americas,EastAsia,0.0287,0.0180,0.0107
geode,deit,no,4.0184,0.0177,SouthEastAsia,Americas,0.0193,0.0154,0.0039
geode,dino,no,4.0929,0.0210,SouthEastAsia,WestAsia,0.0262,0.0153,0.0108
geode,mae,no,3.7293,0.0329,SouthEastAsia,Africa,0.0437,0.0257,0.0180
geode,maxvit,no,3.6987,0.0253,WestAsia,EastAsia,0.0312,0.0193,0.0119
geode,resnet,no,3.6951,0.0282,Americas,Africa,0.0351,0.0213,0.0138
geode,siglip,no,3.7253,0.0252,WestAsia,Europe,0.0312,0.0199,0.0113
geode,swin,no,3.8006,0.0203,Europe,Africa,0.0238,0.0171,0.0067
