dataset,model,object_acc_pretrained,object_acc_finetuned,object_acc_delta,region_bias_gap_pretrained,region_bias_gap_finetuned,region_bias_gap_delta
dollarstreet,clip,0.0146,0.7305,0.7159,0.0057,0.1007,0.0951
dollarstreet,convnext,0.0160,0.7667,0.7507,0.0127,0.0848,0.0720
dollarstreet,deit,0.0190,0.7512,0.7321,0.0057,0.0891,0.0835
dollarstreet,dino,0.0107,0.7340,0.7233,0.0110,0.0773,0.0663
dollarstreet,mae,0.0260,0.6674,0.6414,0.0073,0.0688,0.0614
dollarstreet,maxvit,0.0288,0.7286,0.6999,0.0254,0.1103,0.0849
dollarstreet,resnet,0.0225,0.5887,0.5662,0.0064,0.1220,0.1156
dollarstreet,siglip,0.0165,0.7621,0.7456,0.0051,0.0743,0.0692
dollarstreet,swin,0.0186,0.7609,0.7423,0.0063,0.0725,0.0663
geode,clip,0.0451,0.9538,0.9087,0.0165,0.0306,0.0141
geode,convnext,0.0239,0.9661,0.9422,0.0107,0.0229,0.0122
geode,deit,0.0177,0.9628,0.9451,0.0039,0.0200,0.0160
geode,dino,0.0210,0.9595,0.9385,0.0108,0.0238,0.0129
geode,mae,0.0329,0.9286,0.8957,0.0180,0.0187,0.0007
geode,maxvit,0.0253,0.9565,0.9312,0.0119,0.0192,0.0072
geode,resnet,0.0282,0.9086,0.8803,0.0138,0.0266,0.0128
geode,siglip,0.0252,0.9591,0.9340,0.0113,0.0278,0.0165
geode,swin,0.0203,0.9625,0.9422,0.0067,0.0210,0.0143
