dataset,model,finetune,loss,object_acc,best_region,worst_region,best_region_acc,worst_region_acc,region_bias_gap
geode,deit,no,4.0184,0.0177,SouthEastAsia,Americas,0.0193,0.0154,0.0039
dollarstreet,siglip,no,4.2136,0.0165,as,eu,0.0182,0.0131,0.0051
dollarstreet,deit,no,4.4183,0.0190,as,am,0.0208,0.0152,0.0057
dollarstreet,clip,no,4.4294,0.0146,eu,af,0.0175,0.0118,0.0057
dollarstreet,swin,no,4.2285,0.0186,af,as,0.0224,0.0162,0.0063
dollarstreet,resnet,no,4.1654,0.0225,eu,am,0.0262,0.0199,0.0064
geode,swin,no,3.8006,0.0203,Europe,Africa,0.0238,0.0171,0.0067
dollarstreet,mae,no,4.1876,0.0260,am,eu,0.0292,0.0219,0.0073
geode,convnext,no,3.8047,0.0239,Americas,EastAsia,0.0287,0.0180,0.0107
geode,dino,no,4.0929,0.0210,SouthEastAsia,WestAsia,0.0262,0.0153,0.0108
dollarstreet,dino,no,4.6843,0.0107,af,eu,0.0153,0.0044,0.0110
geode,siglip,no,3.7253,0.0252,WestAsia,Europe,0.0312,0.0199,0.0113
geode,maxvit,no,3.6987,0.0253,WestAsia,EastAsia,0.0312,0.0193,0.0119
dollarstreet,convnext,no,4.2868,0.0160,am,af,0.0234,0.0106,0.0127
geode,resnet,no,3.6951,0.0282,Americas,Africa,0.0351,0.0213,0.0138
geode,clip,no,3.8468,0.0451,EastAsia,WestAsia,0.0498,0.0333,0.0165
geode,mae,no,3.7293,0.0329,SouthEastAsia,Africa,0.0437,0.0257,0.0180
geode,mae,yes,0.8839,0.9286,WestAsia,SouthEastAsia,0.9392,0.9205,0.0187
geode,maxvit,yes,0.8160,0.9565,WestAsia,SouthEastAsia,0.9662,0.9470,0.0192
geode,deit,yes,0.7943,0.9628,WestAsia,SouthEastAsia,0.9720,0.9520,0.0200
geode,swin,yes,0.7906,0.9625,WestAsia,SouthEastAsia,0.9741,0.9531,0.0210
geode,convnext,yes,0.7821,0.9661,WestAsia,SouthEastAsia,0.9788,0.9559,0.0229
geode,dino,yes,0.7951,0.9595,WestAsia,SouthEastAsia,0.9714,0.9477,0.0238
dollarstreet,maxvit,no,4.1550,0.0288,eu,as,0.0452,0.0198,0.0254
geode,resnet,yes,0.9538,0.9086,Europe,SouthEastAsia,0.9238,0.8972,0.0266
geode,siglip,yes,0.7972,0.9591,WestAsia,SouthEastAsia,0.9730,0.9452,0.0278
geode,clip,yes,0.8170,0.9538,WestAsia,SouthEastAsia,0.9683,0.9377,0.0306
dollarstreet,mae,yes,1.7323,0.6674,eu,af,0.6910,0.6222,0.0688
dollarstreet,swin,yes,1.4694,0.7609,eu,af,0.7915,0.7190,0.0725
dollarstreet,siglip,yes,1.4584,0.7621,eu,af,0.7945,0.7202,0.0743
dollarstreet,dino,yes,1.5633,0.7340,eu,af,0.7668,0.6895,0.0773
dollarstreet,convnext,yes,1.4279,0.7667,eu,af,0.8061,0.7214,0.0848
dollarstreet,deit,yes,1.5178,0.7512,eu,af,0.7857,0.6966,0.0891
dollarstreet,clip,yes,1.5627,0.7305,eu,af,0.7784,0.6777,0.1007
dollarstreet,maxvit,yes,1.5243,0.7286,eu,af,0.7726,0.6623,0.1103
dollarstreet,resnet,yes,2.0059,0.5887,eu,af,0.6356,0.5136,0.1220
